序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
785,历史学,近代汉口茶业“口岸一腹地”产业模式研究（1861-1920）,近代 汉口 茶业 口岸 腹地 产业 模式 研究 1861 1920,青年基金项目,左堃荣,武汉商学院,湖北,中部,普通院校
786,历史学,清末陕西新政史料整理与研究,清末 陕西 新政 史料 整理 研究,规划基金项目,赵虎,西北大学,陕西,西部,双一流
787,历史学,国家治理视域下的西周君王出行活动研究,国家 治理 视域 西周 君王 出行 活动 研究,青年基金项目,高晓军,西北师范大学,甘肃,西部,普通院校
788,历史学,宋元以来毛乌素沙地南缘河湖水系演变与沙漠化研究,宋元 以来 毛乌素沙 南缘 河湖 水系 演变 沙漠化 研究,青年基金项目,温鹏辉,西北师范大学,甘肃,西部,普通院校
789,历史学,出土简牍与秦汉军事刑罚研究,出土 简牍 秦汉 军事 刑罚 研究,青年基金项目,李章星,西北政法大学,陕西,西部,普通院校
790,历史学,日本民立和平博物馆馆藏侵华战争史料的收集、整理与研究,日本 民立 和平 博物馆 馆藏 侵华 战争 史料 收集 整理 研究,规划基金项目,李彬,西南民族大学,四川,西部,普通院校
791,历史学,近代西人在西南地区的博物学活动及其影响研究（1860-1949）,近代 西人 西南 地区 博物学 活动 及其 影响 研究 1860 1949,青年基金项目,刘星,西南石油大学,四川,西部,双一流
792,历史学,宋元乡绅地方参与及国家意识构建研究,宋元 乡绅 地方 参与 国家 意识 构建 研究,规划基金项目,杨瑞璟,云南师范大学,云南,西部,普通院校
793,历史学,秦晋冀豫唐宋经幢文物文献整理与研究,秦晋 冀豫 唐宋 经幢 文物 文献 整理 研究,青年基金项目,左金众,长治学院,山西,中部,普通院校
794,历史学,出土简帛与楚地巫风研究,出土 简帛 楚地 巫风 研究,规划基金项目,蔡丽利,浙江海洋大学,浙江,东部,普通院校
795,历史学,清代嘉道年间官府告示传播的语言转化机制研究,清代 嘉道 年间 官府 告示 传播 语言 转化 机制 研究,青年基金项目,王婷,浙江越秀外国语学院,浙江,东部,普通院校
796,历史学,宋代“恶弱水土”州县官员选任与边疆民族区域经略研究,宋代 恶弱 水土 官员 选任 边疆 民族 区域 经略 研究,青年基金项目,郑文豪,郑州大学,河南,中部,双一流
797,历史学,秦汉简牍所见灾害治理文献整理与制度考订研究,秦汉 简牍 灾害 治理 文献 整理 制度 考订 研究,青年基金项目,梁超,中国消防救援学院,北京,东部,普通院校
798,历史学,唐宋敕牒与王言文书体系演变,唐宋 敕牒 王言文 体系 演变,规划基金项目,张雨,中国政法大学,北京,东部,双一流
799,历史学,19世纪下半叶美国关于内战的话语竞争与国族构建研究,19 世纪 半叶 美国 关于 内战 话语 竞争 国族 构建 研究,青年基金项目,王娟,重庆医科大学,重庆,西部,普通院校
800,考古学,陕西西安赤栏桥商代遗址冶金活动的环境遗留信息考证研究,陕西 西安 赤栏 商代 遗址 冶金 活动 环境 遗留 信息 考证 研究,青年基金项目,吴萌蕾,西北大学,陕西,西部,双一流
801,考古学,河套地区史前祭祀遗存与早期礼制研究,河套 地区 史前 祭祀 遗存 早期 礼制 研究,青年基金项目,常经宇,榆林学院,陕西,西部,普通院校
802,经济学,数字经济对代际流动性的影响：效应识别、影响机制与政策优化,数字 经济 代际 流动性 影响 效应 识别 影响 机制 政策 优化,规划基金项目,彭骏,安徽财经大学,安徽,中部,普通院校
803,经济学,工业用地弹性出让驱动企业有效投资的机理与效应研究,工业用 地弹性 出让 驱动 企业 有效 投资 机理 效应 研究,青年基金项目,王春杰,安徽工业大学,安徽,中部,普通院校
804,经济学,平台经济赋能农业转移人口高质量就业的机理与对策研究,平台 经济 赋能 农业 转移 人口 质量 就业 机理 对策 研究,青年基金项目,何佳俐,安徽农业大学,安徽,中部,普通院校
805,经济学,双重网络效应视角下新能源汽车下乡政策实施效果评估与路径优化研究,双重 网络 效应 视角 能源 汽车 下乡 政策 实施 效果 评估 路径 优化 研究,青年基金项目,肖正,安徽农业大学,安徽,中部,普通院校
806,经济学,基于“四维四力”的乡村旅游小企业韧性测度与提升路径研究,基于 四维 四力 乡村 旅游 企业 韧性 测度 提升 路径 研究,规划基金项目,姚国荣,安徽师范大学,安徽,中部,普通院校
807,经济学,数智赋能乡村振兴重点帮扶县首发经济效能评价及提升路径研究,智赋 乡村 振兴 重点 帮扶县 首发 经济 效能 评价 提升 路径 研究,规划基金项目,袁合涛,安康学院,陕西,西部,普通院校
808,经济学,个人破产制度与创新创业研究：作用机理与影响效应,个人 破产 制度 创新 创业 研究 作用 机理 影响 效应,青年基金项目,丁海,北京大学,北京,东部,双一流
809,经济学,创新投入驱动种业企业竞争力提升的作用机理与路径优化研究,创新 投入 驱动 种业 企业 竞争力 提升 作用 机理 路径 优化 研究,青年基金项目,李岚岚,北京大学,北京,东部,双一流
810,经济学,种业振兴目标下的品种审定体系改革：理论机制、效应识别与政策优化,种业 振兴 目标 品种 审定 体系 改革 理论 机制 效应 识别 政策 优化,青年基金项目,袁菱苒,北京大学,北京,东部,双一流
811,经济学,区域协调视角下数字基础设施的配置效率与政策评估,区域 协调 视角 数字 基础 设施 配置 效率 政策 评估,青年基金项目,刘琳,北京大学,北京,东部,双一流
812,经济学,城市更新驱动城市内空间结构演化的机理与效应研究,城市 更新 驱动 城市 空间 结构 演化 机理 效应 研究,青年基金项目,张凡,北京工商大学,北京,东部,普通院校
813,经济学,地方性政策的微观效应与宏观均衡影响：嵌入区域生产网络视角的东北振兴计划效应评估,地方性 政策 微观 效应 宏观 均衡 影响 嵌入 区域 生产 网络 视角 东北 振兴 计划 效应 评估,规划基金项目,孙琳琳,北京航空航天大学,北京,东部,双一流
814,经济学,制造业平台生态利益分配机制研究及实证分析,制造业 平台 生态 利益 分配 机制 研究 实证 分析,规划基金项目,卢远瞩,北京科技大学,北京,东部,双一流
815,经济学,我国林业碳汇保险产品体系构建与定价机制研究,我国 林业 碳汇 保险 产品 体系 构建 定价 机制 研究,规划基金项目,秦涛,北京林业大学,北京,东部,双一流
816,经济学,隐性地方债治理中非平台型国有企业行为异化与风险传染研究,隐性 地方债 治理 中非 平台型 国有 企业 行为 异化 风险 传染 研究,青年基金项目,方胜,北京师范大学,北京,东部,双一流
817,经济学,结构性货币政策、企业债务和经济增长：微观事实、理论分析和政策模拟,结构性 货币 政策 企业 债务 经济 增长 微观 事实 理论 分析 政策 模拟,规划基金项目,郑智杰,北京师范大学,北京,东部,双一流
818,经济学,企业数字化转型提升产业链供应链韧性的理论机制、实证检验与政策构建研究,企业 数字化 转型 提升 产业 链供 链韧性 理论 机制 实证 检验 政策 构建 研究,规划基金项目,赵春燕,北京师范大学,北京,东部,双一流
819,经济学,跨文化数字叙事驱动中国国家旅游形象提升的机制与路径研究,跨文化 数字 叙事 驱动 中国 国家 旅游 形象 提升 机制 路径 研究,青年基金项目,范梦余,北京石油化工学院,北京,东部,普通院校
820,经济学,中国资本市场内在稳定性的测度、影响与提升路径研究,中国 资本 市场 内在 稳定性 测度 影响 提升 路径 研究,青年基金项目,窦斌,北京外国语大学,北京,东部,双一流
821,经济学,证券支持诉讼与上市公司前瞻性信息披露溢出效应研究,证券 支持 诉讼 上市 公司 前瞻性 信息 披露 溢出 效应 研究,青年基金项目,丁亚楠,北京物资学院,北京,东部,普通院校
822,经济学,产品空间理论视角下中国一中亚数字贸易产业价值链重构机制与路径研究,产品 空间 理论 视角 中国 中亚 数字 贸易 产业 价值链 重构 机制 路径 研究,青年基金项目,刘旭,昌吉学院,新疆,西部,普通院校
823,经济学,降碳减污扩绿增长协同推进的系统建模与政策仿真研究,降碳 减污 扩绿 增长 协同 推进 系统 建模 政策 仿真 研究,规划基金项目,王敏晰,成都理工大学,四川,西部,双一流
824,经济学,基于可解释机器学习的多源不确定性对原油市场风险传染的影响与防范研究,基于 解释 机器 学习 多源 不确定性 原油 市场 风险 传染 影响 防范 研究,青年基金项目,杨坤,成都理工大学,四川,西部,双一流
825,经济学,基于农村产业融合视角的家庭农场经营绩效提升机制研究,基于 农村 产业 融合 视角 家庭 农场 经营 绩效 提升 机制 研究,青年基金项目,赵雪,大连理工大学,辽宁,东部,双一流
826,经济学,东北边境地区人口流失对经济安全的影响机制与治理对策研究,东北 边境 地区 人口 流失 经济 安全 影响 机制 治理 对策 研究,青年基金项目,王盼,大庆师范学院,黑龙江,中部,普通院校
827,经济学,促进制造业绿色转型的自愿型环境规制优化策略研究,促进 制造业 绿色 转型 自愿型 环境 规制 优化 策略 研究,青年基金项目,刘经珂,德州学院,山东,东部,普通院校
828,经济学,大语言模型驱动的气候风险与供应链韧性研究,语言 模型 驱动 气候 风险 供应 链韧性 研究,规划基金项目,史永东,东北财经大学,辽宁,东部,普通院校
829,经济学,中国家庭消费的过度敏感性研究：不确定性动因、福利后果与治理机制,中国 家庭 消费 过度 敏感性 研究 确定 性动 福利 后果 治理 机制,规划基金项目,陈太明,东北财经大学,辽宁,东部,普通院校
830,经济学,低利率约束下货币政策传导异化的机制分析及应对策略,低利率 约束 货币 政策 传导 异化 机制 分析 应对 策略,规划基金项目,翟光宇,东北财经大学,辽宁,东部,普通院校
831,经济学,绿色并购的溢出效应：区域异质性、扩散机制与政策协同研究,绿色 并购 溢出 效应 区域 异质性 扩散 机制 政策 协同 研究,青年基金项目,李程程,东北财经大学,辽宁,东部,普通院校
832,经济学,内生环境收益视角下最优木材级联利用碳补偿机制设计研究,内生 环境 收益 视角 优木 材级 联利 用碳 补偿 机制 设计 研究,青年基金项目,商迪,东北大学,辽宁,东部,双一流
833,经济学,AI赋能中国碳市场效率动态监测、解释与提升路径研究,I赋 中国 市场 效率 动态 监测 解释 提升 路径 研究,青年基金项目,张冲冲,东北大学,辽宁,东部,双一流
834,经济学,自然灾害冲击、金融风险传染及ESG投资缓释,自然 灾害 冲击 金融 风险 传染 ESG 投资 缓释,规划基金项目,苑莹,东北大学,辽宁,东部,双一流
835,经济学,工业智能化驱动劳动力就业的影响识别、效应模拟与应对策略研究,工业 智能化 驱动 劳动力 就业 影响 识别 效应 模拟 应对 策略 研究,青年基金项目,王迪,东北大学,辽宁,东部,双一流
836,经济学,国际碳壁垒下新能源汽车产业碳足迹管理与绿色金融支持路径研究,国际 碳壁 垒下 能源 汽车 产业 碳足迹 管理 绿色 金融 支持 路径 研究,青年基金项目,冯子璇,东北师范大学,吉林,中部,双一流
837,经济学,东北老工业基地技术型企业时空动态的区域依赖模式与机理研究,东北 工业 基地 技术型 企业 时空 动态 区域 依赖 模式 机理 研究,规划基金项目,关皓明,东北师范大学,吉林,中部,双一流
838,经济学,科技金融支持“人工智能+”行动：关键锚点、作用机制与路径适配,科技 金融 支持 人工 智能 行动 关键 锚点 作用 机制 路径 适配,规划基金项目,赵晶,东北师范大学,吉林,中部,双一流
839,经济学,化债新政对企业发展预期的提振效应研究,化债 新政 企业 发展 预期 提振 效应 研究,青年基金项目,金龙,东莞理工学院,广东,东部,普通院校
840,经济学,“一带一路”数字产品贸易优势网络的结构韧性、演化机制及协同策略研究,一带 一路 数字 产品 贸易 优势 网络 结构 韧性 演化 机制 协同 策略 研究,青年基金项目,邱志萍,东莞理工学院,广东,东部,普通院校
841,经济学,以新质生产力推进新型工业化与新型城镇化协同发展研究,新质 生产力 推进 新型 工业化 新型 城镇化 协同 发展 研究,规划基金项目,邓慧慧,对外经济贸易大学,北京,东部,双一流
842,经济学,气候政策波动对贸易网络的作用及路径研究,气候 政策 波动 贸易 网络 作用 路径 研究,青年基金项目,周钰丁,对外经济贸易大学,北京,东部,双一流
843,经济学,生成式人工智能企业的时空分异特征、创新机制演进与空间布局优化研究,生成式 人工 智能 企业 时空 分异 特征 创新 机制 演进 空间 布局 优化 研究,青年基金项目,吴泓,福建理工大学,福建,东部,普通院校
844,经济学,数字治理赋能城乡融合发展的机制与路径研究,数字 治理 赋能 城乡 融合 发展 机制 路径 研究,青年基金项目,魏效坤,福建农林大学,福建,东部,普通院校
845,经济学,数字新质生产力赋能城市包容性绿色发展的机制、效应与政策研究,数字 新质 生产力 赋能 城市 包容性 绿色 发展 机制 效应 政策 研究,青年基金项目,吴武林,福建师范大学,福建,东部,普通院校
846,经济学,资本市场中的水军现象：识别策略、市场影响与监管对策,资本 市场 水军 现象 识别 策略 市场 影响 监管 对策,青年基金项目,武永亮,福州大学,福建,东部,双一流
847,经济学,机器学习视角下的异质投资者行为与市场信息效率——基于多主体交互的价格发现机制研究,机器 学习 视角 异质 投资者 行为 市场 信息 效率 —— 基于 主体 交互 价格 发现 机制 研究,青年基金项目,郭雳,复旦大学,上海,东部,双一流
848,经济学,气候风险下的碳配额分配机制与碳配额证券化设计：理论模型与行为实验,气候 风险 碳配额 分配 机制 碳配额 证券化 设计 理论 模型 行为 实验,青年基金项目,张雨骞,广东财经大学,广东,东部,普通院校
849,经济学,产业政策、公众预期与资本市场传导机理研究——基于大语言模型视角,产业 政策 公众 预期 资本 市场 传导 机理 研究 —— 基于 语言 模型 视角,青年基金项目,朱琳,广东财经大学,广东,东部,普通院校
850,经济学,《伦敦海外火险委员会文献》整理研究：中国近代史保险研究的一个新视角,伦敦 海外 火险 委员会 文献 整理 研究 中国 近代史 保险 研究 一个 视角,规划基金项目,丁霞,广东财经大学,广东,东部,普通院校
851,经济学,网络游戏成瘾的防治机制研究——基于价格规制视角,网络 游戏 成瘾 防治 机制 研究 —— 基于 价格 规制 视角,青年基金项目,刘源,广东工业大学,广东,东部,普通院校
852,经济学,人工智能驱动的人力资本配置优化及区域产业结构升级效应研究——基于量化空间模型,人工 智能 驱动 人力 资本 配置 优化 区域 产业 结构 升级 效应 研究 —— 基于 量化 空间 模型,青年基金项目,皮亚彬,广东工业大学,广东,东部,普通院校
853,经济学,价值链攀升与地区低碳发展：事实、机理与策略研究,价值链 攀升 地区 低碳 发展 事实 机理 策略 研究,规划基金项目,吴立军,广东金融学院,广东,东部,普通院校
854,经济学,数字产业集群政策赋能专精特新企业创新发展的机理及路径研究,数字 产业 集群 政策 赋能 专精 企业 创新 发展 机理 路径 研究,青年基金项目,李剑培,广东金融学院,广东,东部,普通院校
855,经济学,中国援助赋能非洲企业发展的理论机制与实证检验,中国 援助 赋能 非洲 企业 发展 理论 机制 实证 检验,规划基金项目,徐丽鹤,广东外语外贸大学,广东,东部,普通院校
856,经济学,国际舆论环境对我国吸引外商直接投资的影响机制与政策支持体系研究,国际 舆论 环境 我国 吸引 外商 直接 投资 影响 机制 政策 支持 体系 研究,青年基金项目,常亮,广东外语外贸大学,广东,东部,普通院校
857,经济学,西部陆海新通道促进沿线地区省际贸易发展的机理、效应及对策研究,西部 陆海 通道 促进 沿线 地区 省际 贸易 发展 机理 效应 对策 研究,青年基金项目,刘河北,广西财经学院,广西,西部,普通院校
858,经济学,基于投资者学习与机器学习的资产定价研究,基于 投资者 学习 机器 学习 资产 定价 研究,规划基金项目,谢军,广西大学,广西,西部,双一流
859,经济学,新质生产力视域下人工智能驱动产业链韧性的机理、效应与路径研究,新质 生产力 视域 人工 智能 驱动 产业 链韧性 机理 效应 路径 研究,规划基金项目,何邓娇,广州城市理工学院,广东,东部,普通院校
860,经济学,主客“共享一共生一共创”三阶跃迁视角下网红旅游目的地长效发展机制研究,主客 共享 一共 一共 阶跃 迁视 角下 网红 旅游 目的 地长效 发展 机制 研究,青年基金项目,覃方铭,广州航海学院,广东,东部,普通院校
861,经济学,技术赋能金融供应链的信任重构：技术信任、制度信任与社会信任研究,技术 赋能 金融 供应链 信任 重构 技术 信任 制度 信任 社会 信任 研究,青年基金项目,蔡芃芃,广州商学院,广东,东部,普通院校
862,经济学,人工智能技术偏向对知识型劳动者职业流动的影响机制及政策优化研究,人工 智能 技术 偏向 知识型 劳动者 职业 流动 影响 机制 政策 优化 研究,青年基金项目,邓彤博,广州铁路职业技术学院,广东,东部,普通院校
863,经济学,动机异质性视角下我国居民绿色食品消费行为的驱动机制与干预策略优化研究,动机 异质性 视角 我国 居民 绿色 食品 消费 行为 驱动 机制 干预 策略 优化 研究,青年基金项目,袁绕,贵州大学,贵州,西部,双一流
864,经济学,数字技术驱动下异质性劳动力再配置与乡村产业转型：机制、效应及策略,数字 技术 驱动 异质性 劳动力 配置 乡村 产业 转型 机制 效应 策略,青年基金项目,刘丹丹,贵州大学,贵州,西部,双一流
865,经济学,AI辅助审计中人机信任的动态构建与审计师行为——基于信任校准理论的实验研究,AI 辅助 审计 中人机 信任 动态 构建 审计师 行为 —— 基于 信任 校准 理论 实验 研究,规划基金项目,孙岩,哈尔滨工业大学,黑龙江,中部,双一流
866,经济学,主权与效率平衡框架下全球数据跨境流动治理机制研究,主权 效率 平衡 框架 全球 数据 跨境 流动 治理 机制 研究,青年基金项目,孙彤彤,哈尔滨理工大学,黑龙江,中部,普通院校
867,经济学,生成式人工智能赋能制造业新质生产力的演化机制与实现路径研究,生成式 人工 智能 赋能 制造业 新质 生产力 演化 机制 实现 路径 研究,规划基金项目,仲深,哈尔滨商业大学,黑龙江,中部,普通院校
868,经济学,投资者行为视角下生物多样性风险对资本市场的溢出效应研究,投资者 行为 视角 生物 多样性 风险 资本 市场 溢出 效应 研究,青年基金项目,谭雅妃,杭州电子科技大学,浙江,东部,普通院校
869,经济学,气候灾害冲击与地权分配不平等：理论机制与近代中国经验研究,气候 灾害 冲击 地权 分配 平等 理论 机制 近代 中国 经验 研究,青年基金项目,陈德仙,杭州师范大学,浙江,东部,普通院校
870,经济学,数字化背景下地方债务回弹效应的发生机制与优化路径研究,数字化 背景 地方 债务 回弹 效应 发生 机制 优化 路径 研究,青年基金项目,徐悦悦,合肥大学,安徽,中部,普通院校
871,经济学,港口群整合与转型升级对腹地新质生产力影响的机制研究,港口 整合 转型 升级 腹地 新质 生产力 影响 机制 研究,规划基金项目,王辉坡,河北工程大学,河北,东部,普通院校
872,经济学,农业生产托管提升粮食综合生产能力的效应、实践困境与政策优化,农业 生产 托管 提升 粮食 综合 生产 能力 效应 实践 困境 政策 优化,青年基金项目,薛龙飞,河北经贸大学,河北,东部,普通院校
873,经济学,人工智能培育新动能更新旧动能的机理与路径研究,人工 智能 培育 新动 更新 动能 机理 路径 研究,青年基金项目,周伯乐,河海大学,江苏,东部,双一流
874,经济学,传统农区乡村产业跃迁的阈值突破机制与路径优化研究,传统 农区 乡村 产业 跃迁 阈值 突破 机制 路径 优化 研究,规划基金项目,罗庆,河南财经政法大学,河南,中部,普通院校
875,经济学,随迁时序对农民工子女人力资本积累的影响机理与政策优化研究,随迁 时序 农民 工子 人力 资本 积累 影响 机理 政策 优化 研究,青年基金项目,苏会,河南财经政法大学,河南,中部,普通院校
876,经济学,黄河中下游生态系统服务价值与人类活动协同发展动力机制及政策路径研究,黄河 中下游 生态 系统 服务 价值 人类 活动 协同 发展 动力 机制 政策 路径 研究,青年基金项目,王美娜,河南财经政法大学,河南,中部,普通院校
877,经济学,数据要素驱动的中小货主演化博弈下集装箱运价动态机制研究,数据 要素 驱动 中小 货主 演化 博弈 集装箱 运价 动态 机制 研究,青年基金项目,宋巍,河南财经政法大学,河南,中部,普通院校
878,经济学,共同富裕目标下社保缴费的劳动技能溢价效应与政策协同优化研究,共同 富裕 目标 下社 保缴费 劳动 技能 溢价 效应 政策 协同 优化 研究,规划基金项目,王文剑,河南财政金融学院,河南,中部,普通院校
879,经济学,粮食主产区乡村收缩对粮食生产韧性的影响与对策研究,粮食 主产区 乡村 收缩 粮食 生产 韧性 影响 对策 研究,规划基金项目,高昕,河南财政金融学院,河南,中部,普通院校
880,经济学,贸易政策不确定性与企业出口异化行为：机制、效应与对策研究,贸易 政策 不确定性 企业 出口 异化 行为 机制 效应 对策 研究,青年基金项目,郭益蓓,河南大学,河南,中部,双一流
881,经济学,数字金融驱动制造业产业链融通创新的机制与对策研究,数字 金融 驱动 制造业 产业 链融 通创 机制 对策 研究,青年基金项目,胡文涛,河南工业大学,河南,中部,普通院校
882,经济学,人工智能对我国知识密集产业逆向技术创新的影响及支持政策研究,人工 智能 我国 知识 密集 产业 逆向 技术 创新 影响 支持 政策 研究,青年基金项目,黄华,河南工业大学,河南,中部,普通院校
883,经济学,高水平开放背景下跨境资本异动风险对金融稳定的影响及应对研究,水平 开放 背景 跨境 资本 异动 风险 金融 稳定 影响 应对 研究,青年基金项目,谢敬轩,河南师范大学,河南,中部,普通院校
884,经济学,乡村振兴视角下返贫的形成机制与治理研究,乡村 振兴 视角 返贫 形成 机制 治理 研究,青年基金项目,程小佩,湖北大学,湖北,中部,普通院校
885,经济学,外部冲击视角下劳动力市场一体化对中国制造业全球价值链韧性的影响研究,外部 冲击 视角 劳动力 市场 一体化 中国 制造业 全球 价值 链韧性 影响 研究,青年基金项目,李向毅,湖北工业大学,湖北,中部,普通院校
886,经济学,多维数字乡村建设提升低收入农户生计韧性的机制与政策研究,多维 数字 乡村 建设 提升 收入 农户生 计韧性 机制 政策 研究,规划基金项目,李博,湖北经济学院,湖北,中部,普通院校
887,经济学,工业机器人应用的产品创新困境研究：形成机制、经验证据与突破策略,工业 机器人 应用 产品 创新 困境 研究 形成 机制 经验 证据 突破 策略,青年基金项目,王雪峰,湖北经济学院,湖北,中部,普通院校
888,经济学,我国大豆产业链期货价格泡沫的跨市场风险传染研究：理论、效应与防控,我国 大豆 产业 链期 价格 泡沫 跨市场 风险 传染 研究 理论 效应 防控,青年基金项目,黄慧莲,湖北经济学院,湖北,中部,普通院校
889,经济学,数字创新网络赋能企业技术创新的作用机理与政策设计研究,数字 创新 网络 赋能 企业 技术 创新 作用 机理 政策 设计 研究,青年基金项目,杜鹏飞,湖北文理学院,湖北,中部,普通院校
890,经济学,多模态视觉信息对绿色住宅溢价的影响研究,模态 视觉 信息 绿色 住宅 溢价 影响 研究,青年基金项目,丁言豪,华北电力大学,北京,东部,双一流
891,经济学,虚拟电厂交易平台AI技术应用的定价机制研究,虚拟 电厂 交易 平台 AI 技术 应用 定价 机制 研究,规划基金项目,孔令丞,华东理工大学,上海,东部,双一流
892,经济学,国有企业数据要素价值链形成机制和国家数字新优势实现路径研究,国有 企业 数据 要素 价值链 形成 机制 国家 数字 优势 实现 路径 研究,青年基金项目,严思远,华东理工大学,上海,东部,双一流
893,经济学,科创走廊重塑区域创新空间的机理、路径与政策研究,科创 走廊 重塑 区域 创新 空间 机理 路径 政策 研究,青年基金项目,郭艺,华东师范大学,上海,东部,双一流
894,经济学,美国对华脱钩驱动下数字人才赋能企业韧性提升研究,美国 脱钩 驱动 数字 人才 赋能 企业 韧性 提升 研究,青年基金项目,曾帅,华东师范大学,上海,东部,双一流
895,经济学,数字经济下平台经济与零工经济的动态博弈与风险管理,数字 经济 平台 经济 零工 经济 动态 博弈 风险 管理,青年基金项目,沈竺逸,华东政法大学,上海,东部,普通院校
896,经济学,数据安全风险对商业银行脆弱性的影响及治理机制研究,数据 安全 风险 商业 银行 脆弱性 影响 治理 机制 研究,青年基金项目,陈晓洁,华南农业大学,广东,东部,双一流
897,经济学,低空经济产业的微观地理集聚与形成机制研究,低空 经济 产业 微观 地理 集聚 形成 机制 研究,青年基金项目,肖凡,华南师范大学,广东,东部,双一流
898,经济学,生态系统服务供需匹配、空间流动及横向生态补偿机制研究——以长江中游城市群为例,生态 系统 服务 供需 匹配 空间 流动 横向 生态 补偿 机制 研究 —— 长江 中游 城市群,规划基金项目,陈莹,华中科技大学,湖北,中部,双一流
899,经济学,多主体协同视角下高标准农田管护的长效机制研究,主体 协同 视角 高标准 农田 管护 长效 机制 研究,青年基金项目,魏威,华中农业大学,湖北,中部,双一流
900,经济学,中国人工智能创新网络韧性演化特征、影响机制和优化路径研究,中国 人工 智能 创新 网络 韧性 演化 特征 影响 机制 优化 路径 研究,青年基金项目,刘钰,华中师范大学,湖北,中部,双一流
901,经济学,农村人情负担测度、成因与柔性治理路径研究,农村 人情 负担 测度 成因 柔性 治理 路径 研究,规划基金项目,杜丽永,淮阴师范学院,江苏,东部,普通院校
902,经济学,全球金融周期异质性波动对中国金融市场韧性的影响机理与应对策略研究,全球 金融 周期 异质性 波动 中国 金融 市场 韧性 影响 机理 应对 策略 研究,青年基金项目,孙晨童,吉林财经大学,吉林,中部,普通院校
903,经济学,战略管理视角下中国赋能式援助治理海外投资风险的机制与路径研究,战略 管理 视角 中国 赋能式 援助 治理 海外 投资 风险 机制 路径 研究,青年基金项目,张李云鹏,吉林大学,吉林,中部,双一流
904,经济学,基于可供性匹配效应的网红城市旅游吸引力的形成逻辑与现实路径研究,基于 可供性 匹配 效应 网红 城市 旅游 吸引力 形成 逻辑 现实 路径 研究,青年基金项目,姚凤,吉林大学,吉林,中部,双一流
905,经济学,网络医疗互助保险逆向选择的机制与缓解路径研究,网络 医疗 互助 保险 逆向 选择 机制 缓解 路径 研究,规划基金项目,郑筱婷,暨南大学,广东,东部,双一流
906,经济学,绿色发展导向下城市土地规制的环境经济效应研究,绿色 发展 导向 城市 土地 规制 环境 经济 效应 研究,青年基金项目,朱宏佳,暨南大学,广东,东部,双一流
907,经济学,人工智能驱动我国企业出口贸易网络重构的机制及路径研究,人工 智能 驱动 我国 企业 出口 贸易 网络 重构 机制 路径 研究,青年基金项目,刘玥,嘉兴大学,浙江,东部,普通院校
908,经济学,制度型开放背景下企业嵌入全球创新网络的技术赶超效应研究,制度型 开放 背景 企业 嵌入 全球 创新 网络 技术 赶超 效应 研究,青年基金项目,卓乘风,嘉兴大学,浙江,东部,普通院校
909,经济学,技术封锁对高校基础研究的影响机制研究,技术 封锁 高校 基础 研究 影响 机制 研究,规划基金项目,马鑫,江南大学,江苏,东部,双一流
910,经济学,数据资产质押融资赋能科技型中小企业新质生产力发展的机制与对策研究,数据 资产 质押 融资 赋能 科技型 中小企业 新质 生产力 发展 机制 对策 研究,青年基金项目,张雪梅,江南大学,江苏,东部,双一流
911,经济学,地方政府竞争下环境规制执行互动对海洋渔业绿色转型的影响研究,地方政府 竞争 环境 规制 执行 互动 海洋 渔业 绿色 转型 影响 研究,青年基金项目,仇荣山,江苏海洋大学,江苏,东部,普通院校
912,经济学,数字技术赋能企业新质生产力发展的形成机理与实现路径研究,数字 技术 赋能 企业 新质 生产力 发展 形成 机理 实现 路径 研究,青年基金项目,王良虎,江苏师范大学,江苏,东部,普通院校
913,经济学,基于机器学习的跨境电商“内卷式”竞争的识别、测度与政策干预研究,基于 机器 学习 跨境 电商 内卷式 竞争 识别 测度 政策 干预 研究,青年基金项目,任岩,江苏师范大学,江苏,东部,普通院校
914,经济学,金融科技的经济稳定器作用：微观机理和实证识别,金融 科技 经济 稳定器 作用 微观 机理 实证 识别,规划基金项目,王红建,江西财经大学,江西,中部,普通院校
915,经济学,数绿技术融合赋能企业国际竞争力的影响效应、机制路径与政策优化研究,数绿 技术 融合 企业 国际 竞争力 影响 效应 机制 路径 政策 优化 研究,青年基金项目,赖晓冰,江西财经大学,江西,中部,普通院校
916,经济学,实数融合驱动长江经济带工业减污降碳协同增效的机制、效应与路径研究,实数 融合 驱动 长江 经济带 工业 减污 降碳 协同 增效 机制 效应 路径 研究,青年基金项目,邓明亮,江西财经大学,江西,中部,普通院校
917,经济学,共同富裕目标下实数融合赋能农民增收的作用机制与优化路径研究,共同 富裕 目标 下实 数融 合赋 农民 增收 作用 机制 优化 路径 研究,青年基金项目,史依铭,江西理工大学,江西,中部,普通院校
918,经济学,城镇居民时间贫困与食物消费结构：效应、机制与干预策略研究,城镇 居民 时间 贫困 食物 消费 结构 效应 机制 干预 策略 研究,青年基金项目,陈娇,江西师范大学,江西,中部,普通院校
919,经济学,数据要素赋能空气污染治理的影响机制与实现路径研究,数据 素赋 空气 污染 治理 影响 机制 实现 路径 研究,青年基金项目,马俊华,昆明理工大学,云南,西部,普通院校
